Outcome ID,Result Combination,Outcome Text,Suggestion Text
,,,
O1,B1.L,depression,go to a therapist
O2,B1.L + B2.L + B3.L,blood loss,take blood
O3,,,
O4,,,
O5,,,
O6,,,
O7,,,
O8,,,
O9,,,
O10,,,
O11,,,
O12,,,
O13,,,
O14,,,
O15,,,
O16,,,
O17,,,
O18,,,
O19,,,
O20,,,
O21,,,
O22,,,
O23,,,
O24,,,
O25,,,
O26,,,
O27,,,
O28,,,
O29,,,
O30,,,
O31,,,
O32,,,
O33,,,
O34,,,
O35,,,
O36,,,
O37,,,
O38,,,
O39,,,
O40,,,
O41,,,
O42,,,
O43,,,
O44,,,
O45,,,
O46,,,
O47,,,
O48,,,
O49,,,
O50,,,
O51,,,
O52,,,
O53,,,
O54,,,
O55,,,
O56,,,
O57,,,
O58,,,
O59,,,
O60,,,
O61,,,
O62,,,
O63,,,
O64,,,
O65,,,
O66,,,
O67,,,
O68,,,
O69,,,
O70,,,
O71,,,
O72,,,
O73,,,
O74,,,
O75,,,
O76,,,
O77,,,
O78,,,
O79,,,
O80,,,
O81,,,
O82,,,
O83,,,
O84,,,
O85,,,
O86,,,
O87,,,
O88,,,
O89,,,
O90,,,
O91,,,
O92,,,
O93,,,
O94,,,
O95,,,
O96,,,
O97,,,
O98,,,
O99,,,
O100,,,
O101,,,
O102,,,
O103,,,
O104,,,
O105,,,
O106,,,
O107,,,
O108,,,
O109,,,
O110,,,
O111,,,
O112,,,
O113,,,
O114,,,
O115,,,
O116,,,
O117,,,
O118,,,
O119,,,
O120,,,
O121,,,
O122,,,
O123,,,
O124,,,
O125,,,